,상호명,도로명주소,위도,경도
0,카리브,서울특별시 종로구 종로11길 13,37.57091452,126.9855502
1,식감이야기양재역점,서울특별시 서초구 남부순환로350길 19-26,37.4841581,127.0368039
2,대치노래바하트,서울특별시 강남구 삼성로 231,37.49781443,127.060966
3,맥주창고오라고노량진점,서울특별시 동작구 노량진로 158,37.51341981,126.943526
4,압구정4층,서울특별시 강남구 선릉로157길 33,37.52628427,127.0370318
5,할라,서울특별시 서초구 서초대로77길 43,37.50137865,127.0248884
6,한잔해,서울특별시 강동구 올림픽로71길 30,37.5403278,127.1220811
7,제이앤제이슨R,서울특별시 마포구 동교로 255-1,37.56279652,126.924515
8,드렁크829,서울특별시 서초구 효령로55길 15,37.48544925,127.0141838
9,멕시칸호프,서울특별시 구로구 우마1길 5,37.48246171,126.8877785
10,조니워커블랙라벨,서울특별시 양천구 신정중앙로 85,37.52684775,126.8613703
11,흥미식당,서울특별시 용산구 이태원로19길 6,37.53472959,126.9919808
12,슈가레이펍,서울특별시 마포구 와우산로 75,37.55124087,126.9230514
13,별이빛나는밤에,서울특별시 강동구 천호대로176길 10,37.53401571,127.1361063
14,내사랑호프,서울특별시 도봉구 덕릉로59다길 14-6,37.64032613,127.0377485
15,샤방샤방,서울특별시 서대문구 연세로 3,37.55604066,126.9366658
16,스테이,서울특별시 송파구 오금로 148,37.5104748,127.1111084
17,술무로,서울특별시 성북구 정릉로10길 31,37.60757374,126.9998553
18,달달호프,서울특별시 용산구 한강대로62길 27,37.53366247,126.9737447
19,실내포차그미네,서울특별시 강서구 공항대로59길 27,37.55282755,126.8635442
20,케이피씨,서울특별시 마포구 어울마당로 55-8,37.550308,126.9205525
21,달빛아래한잔,서울특별시 강북구 인수봉로56길 14,37.63656777,127.0136183
22,선화가맥,서울특별시 성북구 보문로30라길 16,37.58988278,127.0187526
23,달곡동라이브7080,서울특별시 성북구 화랑로 104,37.60333871,127.0433102
24,제주밤바다,서울특별시 노원구 노해로81길 12-21,37.65576889,127.0633776
25,잉쓰,서울특별시 영등포구 여의나루로 117,37.52621941,126.9310365
26,필,서울특별시 서초구 서초중앙로 109,37.49159095,127.0137639
27,홍대포차,서울특별시 관악구 난곡로 89-1,37.46330456,126.9187525
28,와인쉬어리,서울특별시 강남구 논현로36길 23,37.48511545,127.0437343
29,콘크리트포이트리,서울특별시 중구 창경궁로5길 18,37.56717362,126.9969659
30,홍구포차,서울특별시 강북구 한천로 1063-1,37.64146863,127.0243632
31,천국포차,서울특별시 은평구 증산로9길 10,37.58523847,126.9094732
32,오케이포차,서울특별시 마포구 잔다리로6길 35,37.55244856,126.9211101
33,왕노가리,서울특별시 도봉구 도봉산3길 92,37.68330575,127.0433384
34,미스미스노래짱,서울특별시 마포구 대흥로 82,37.54730896,126.9416107
35,벙커,서울특별시 강서구 마곡중앙6로 89,37.56015848,126.8372758
36,당산옛날곱창,서울특별시 영등포구 당산로47길 14,37.53536227,126.9022569
37,우주맥주,서울특별시 금천구 디지털로9길 46,37.48004933,126.8870793
38,올래포차,서울특별시 관악구 중앙1나길 3,37.48344931,126.9534687
39,코트룸,서울특별시 서초구 반포대로28길 56-3,37.49129332,127.011574
40,무명요리사,서울특별시 마포구 동교로32길 3,37.56083241,126.9245319
41,다모아호프,서울특별시 광진구 뚝섬로 476,37.5364691,127.0631632
42,작은주방,서울특별시 금천구 시흥대로63길 3,37.45478164,126.8993442
43,이유유,서울특별시 중구 퇴계로88길 47,37.56341417,127.0203224
44,청춘스쿨,서울특별시 강북구 덕릉로8길 6,37.63368873,127.0152085
45,봉천예술관,서울특별시 관악구 관악로14길 22,37.47900066,126.9537569
46,플라워뮤직,서울특별시 관악구 남부순환로 1594-6,37.483581,126.9279582
47,이런역같은,서울특별시 중구 칠패로 14,37.55933057,126.9703367
48,치삼쭈,서울특별시 송파구 오금로59길 5,37.49394814,127.1438848
49,써니7080,서울특별시 성북구 동소문로20길 29-15,37.59153945,127.0175193
50,붐바,서울특별시 용산구 이태원로 211,37.53498179,126.9972614
51,댕포차,서울특별시 금천구 시흥대로52길 42,37.45321265,126.902125
52,건배,서울특별시 성동구 성덕정길 141,37.53657159,127.0590545
53,수도원,서울특별시 종로구 동숭3길 16,37.58171927,127.0047527
54,민들레호프,서울특별시 영등포구 시흥대로175길 17,37.48850987,126.9034291
55,경성,서울특별시 종로구 자하문로1길 13-1,37.57640706,126.9715734
56,빠져들다,서울특별시 동작구 상도로15길 131,37.50495408,126.9379563
57,신흥부전,서울특별시 마포구 매봉산로2길 25,37.57812357,126.8952895
58,신디스하우스,서울특별시 강남구 도산대로49길 11,37.52361752,127.0370774
59,문러너,서울특별시 송파구 백제고분로7길 24-11,37.51015162,127.0818163
60,어라이브,서울특별시 송파구 올림픽로10길 20,37.50989398,127.0811294
61,점블,서울특별시 마포구 와우산로17길 24,37.5502909,126.9216391
62,신사동,서울특별시 광진구 답십리로 372,37.57142315,127.0818117
63,솔샘,서울특별시 도봉구 덕릉로60길 36,37.63858941,127.040241
64,준코,서울특별시 강남구 도산대로 123,37.51744653,127.0218739
65,생활맥주,서울특별시 종로구 새문안로5길 11-7,37.57114331,126.9744871
66,이애이치엔,서울특별시 용산구 녹사평대로 168-6,37.53324734,126.9893418
67,나팔바지,서울특별시 성북구 보문로32길 12,37.58930266,127.0172543
68,로마7080라이브,서울특별시 금천구 범안로 1256,37.46629936,126.9015267
69,르템플,서울특별시 중구 충무로7길 2,37.56589129,126.9923987
70,셔터,서울특별시 송파구 백제고분로45길 22-1,37.51010859,127.1091446
71,솜사탕,서울특별시 마포구 백범로2길 6,37.55429175,126.9365661
72,달빛소굴,서울특별시 마포구 동교로 125,37.55512249,126.9159559
73,리턴,서울특별시 강남구 테헤란로51길 7,37.50458422,127.0466981
74,골목포차,서울특별시 양천구 월정로 109,37.52896179,126.8388124
75,일번지호프,서울특별시 강서구 금낭화로 15,37.56678646,126.8115794
76,술좋은날,서울특별시 강동구 양재대로111길 15,37.53698002,127.1385501
77,에브르,서울특별시 마포구 동교로46길 42-9,37.561753,126.9266806
78,을지로골뱅이,서울특별시 송파구 중대로 24,37.48811901,127.1110454
79,팝콘,서울특별시 강북구 도봉로 345,37.63866087,127.0258729
80,네뜨,서울특별시 중구 퇴계로 364,37.5646314,127.0117717
81,블랙박스,서울특별시 강남구 도산대로30길 16-4,37.51876853,127.0292097
82,오케이,서울특별시 동대문구 한천로18길 6,37.56902425,127.0643291
83,마피아,서울특별시 강남구 도산대로37길 13,37.52192011,127.0311486
84,청춘감성포차,서울특별시 용산구 서빙고로 4-6,37.52585759,126.965276
85,라쿤컴퍼니역전할머니맥주,서울특별시 관악구 승방4길 20,37.47459675,126.9808162
86,몰트앤컴퍼니,서울특별시 용산구 한강대로38가길 7-18,37.52980078,126.9700413
87,준코,서울특별시 서대문구 연세로4길 7,37.55707414,126.9373641
88,반듯한습관,서울특별시 서초구 강남대로 597,37.51502842,127.0193037
89,먹거리포차,서울특별시 은평구 통일로87길 6-16,37.6240252,126.9189776
90,아지트,서울특별시 강서구 방화동로 1,37.56212819,126.8080088
91,얼레벌레,서울특별시 금천구 독산로11길 7,37.45194623,126.9054777
92,닉스노래방식주점,서울특별시 종로구 새문안로5가길 3-1,37.57247482,126.9742538
93,줌커피호프,서울특별시 중랑구 용마산로115길 86,37.59823612,127.095536
94,지하102호,서울특별시 마포구 독막로3길 39,37.55002653,126.9173651
95,허브노래바큐,서울특별시 강남구 언주로107길 22,37.50762615,127.037362
96,콜라보,서울특별시 중구 동호로12길 6,37.55556648,127.0106464
97,발리,서울특별시 서초구 강남대로101안길 13,37.51632381,127.0179633
98,김빠빠누룽지통닭,서울특별시 동작구 양녕로 286-1,37.50458188,126.9507534
99,엘세뇨르둘세,서울특별시 강남구 도산대로101길 22,37.52627792,127.0529614
100,로제드미네,서울특별시 마포구 성미산로 190-11,37.56250442,126.9260812
101,아임프릇티,서울특별시 동작구 등용로 107,37.51069303,126.9318801
102,맨하탄노래클럽,서울특별시 영등포구 양평로 77,37.53546033,126.8982727
103,도조,서울특별시 용산구 우사단로14길 18,37.53412981,126.9966732
104,함지박,서울특별시 관악구 신림로65길 38,37.48493597,126.9273396
105,충남집,서울특별시 성북구 정릉로 452,37.60332318,127.0314642
106,역전할머니맥주상일점,서울특별시 강동구 상일로 27,37.54947944,127.1728217
107,임창정의소주한잔,서울특별시 광진구 아차산로33길 21,37.54130009,127.0701751
108,너그리고나,서울특별시 금천구 독산로 22,37.44924249,126.9054153
109,곰돌이맥주,서울특별시 도봉구 도봉로149길 15,37.66614788,127.0419492
110,콘서트,서울특별시 강동구 올림픽로 677,37.54198446,127.1243362
111,위커파크,서울특별시 송파구 석촌호수로 298,37.51154282,127.1081547
112,우장군,서울특별시 강서구 강서로5나길 117,37.52813337,126.8416197
113,디오엠,서울특별시 종로구 성균관로 4-8,37.58361456,126.9987267
114,아지트,서울특별시 관악구 남부순환로230길 22,37.47910476,126.9553383
115,퍼프타운,서울특별시 강남구 언주로170길 28,37.52658991,127.0358399
116,뉴신세계,서울특별시 관악구 남부순환로 1631-1,37.4848159,126.9319886
117,스타에델치킨가산,서울특별시 금천구 벚꽃로38길 15,37.4821466,126.8839841
118,금강산,서울특별시 도봉구 노해로63길 79,37.65308194,127.0462762
119,신오빠닭발,서울특별시 관악구 관천로 54,37.48440604,126.926533
120,신짱구비어,서울특별시 강북구 수유로 17,37.63257173,127.0184862
121,꾸찌꾸찌,서울특별시 중구 청파로 464,37.56080774,126.9682111
122,크레프트헌터,서울특별시 용산구 새창로 131,37.53598758,126.9614248
123,꾸's디저트,서울특별시 강동구 아리수로74길 35-23,37.56102761,127.1621222
124,씨비케이,서울특별시 서대문구 연희로11길 7,37.56697702,126.9304317
125,밤바다,서울특별시 은평구 연서로29길 22-9,37.61979607,126.9176342
126,타임,서울특별시 강서구 화곡로 175,37.54208496,126.8410644
127,7080놀이터,서울특별시 관악구 남부순환로 2082-29,37.4761362,126.9806597
128,카네기7080,서울특별시 강서구 까치산로27길 23,37.55196989,126.8512667
129,펀비어킹독산3동점,서울특별시 금천구 독산로 359,37.47890684,126.9036599
130,오닉스,서울특별시 강남구 강남대로62길 13,37.49060239,127.0326049
131,스타호프,서울특별시 영등포구 당산로 136-1,37.52676345,126.8971108
132,클라우드,서울특별시 영등포구 여의대방로 375,37.51889138,126.9307564
133,광나루,서울특별시 마포구 월드컵북로 187,37.56802979,126.9076413
134,로젤,서울특별시 종로구 창경궁로26길 33,37.58181854,126.9994414
135,호랭이술집,서울특별시 성북구 고려대로26길 14,37.58552309,127.0298154
136,끝판왕그룹,서울특별시 성동구 연무장13길 9,37.54257477,127.0581983
137,미미호호,서울특별시 중구 다산로42나길 46,37.56231637,127.0172467
138,쇼노래클럽,서울특별시 강서구 화곡로58길 36,37.55262493,126.852841
139,에이원,서울특별시 강남구 테헤란로20길 10,37.49907574,127.0341242
140,주별장,서울특별시 은평구 연서로29길 8-3,37.61904628,126.9193895
141,소소호프,서울특별시 강남구 남부순환로370길 9,37.48494312,127.0424814
142,청마루포차,서울특별시 동대문구 천호대로77길 123,37.56691646,127.064412
143,역전할머니맥주,서울특별시 성북구 월계로 172,37.61926372,127.0448733
144,워커비,서울특별시 강남구 도산대로49길 6-10,37.52357948,127.0379377
145,지금이밤,서울특별시 광진구 능동로 27,37.53387249,127.0675179
146,요리하는남자,서울특별시 관악구 장군봉1길 9,37.48213701,126.9406877
147,찐이야,서울특별시 강동구 명일로 191,37.53583964,127.1452957
148,와와호프치킨,서울특별시 강동구 구천면로 378,37.5505928,127.1407248
149,오늘은전,서울특별시 구로구 오리로 1270,37.49499425,126.8307553
150,리치라이브,서울특별시 서초구 서초중앙로22길 47-5,37.4936579,127.016349
151,수딧,서울특별시 성동구 상원1길 5,37.54449335,127.0491211
152,농가,서울특별시 동작구 여의대방로24가길 10,37.49864649,126.9210252
153,럼블6,서울특별시 금천구 독산로75길 21,37.46892629,126.9010813
154,동방포차,서울특별시 양천구 남부순환로83길 17,37.51648475,126.8408836
155,비어셰프냐항,서울특별시 종로구 북촌로1길 30-9,37.57769492,126.9839864
156,휘,서울특별시 중구 충무로 21-3,37.56305517,126.9926519
157,호야,서울특별시 강북구 한천로 1164,37.64777087,127.0161671
158,서울집시,서울특별시 종로구 서순라길 107,37.57503835,126.9915169
159,사람사는이야기442,서울특별시 마포구 어울마당로5길 52,37.55007707,126.9179642
160,슈퍼맨,서울특별시 금천구 가산로 149,37.47851235,126.8903583
161,헨드릭스,서울특별시 송파구 백제고분로17길 55,37.51051865,127.0849902
162,한사발포차,서울특별시 강남구 선릉로129길 9-7,37.51580147,127.0410239
163,보리단란주점,서울특별시 강북구 도봉로 207,37.62705212,127.025458
164,피이엘,서울특별시 강남구 선릉로152길 7,37.52422819,127.0401467
165,초쿤바,서울특별시 마포구 망원로6길 49,37.55475917,126.9039304
166,청담이상점,서울특별시 강서구 마곡중앙로 161-8,37.56861933,126.8272734
167,유희,서울특별시 강남구 도산대로11길 31-8,37.51937373,127.0217469
168,용마산포차,서울특별시 중랑구 면목로33길 6,37.57683089,127.0854813
169,파파호공덕,서울특별시 마포구 마포대로 156,37.5479271,126.9543559
170,플랙스,서울특별시 관악구 남부순환로 1594-1,37.48376016,126.9278426
171,봄,서울특별시 종로구 수표로22길 30,37.57150872,126.9907495
172,싸다회포차,서울특별시 구로구 서해안로26길 18,37.4919073,126.8421003
173,비어킹,서울특별시 강동구 진황도로 94,37.53596556,127.136593
174,봉달이네전집,서울특별시 양천구 남부순환로70길 22,37.52164651,126.8343555
175,웨스턴,서울특별시 성북구 장월로 116,37.61603313,127.0487318
176,월드컵,서울특별시 동대문구 서울시립대로 64,37.57670858,127.0483493
