학교종류,학교명,본분교,주소,Latitude,Longitude,행정시,행정구,행정동
일반대학,서울시립대학교,본교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,37.5834233,127.0600271,서울특별시,동대문구,휘경2동
전문대학(3년제),서울여자간호대학교,본교,서울 서대문구 홍제3동 서울여자간호대학,37.597475,126.947416,서울특별시,서대문구,홍제2동
일반대학,서울여자대학교,본교,서울특별시 노원구 화랑로 621 서울여자대학교,37.6281126,127.0904568,서울특별시,노원구,공릉2동
전문대학(2년제),서일대학교,본교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,37.5867117,127.1001536,서울특별시,중랑구,면목제3.8동
일반대학,성공회대학교,본교,서울 구로구 항동 성공회대학교,37.4877355,126.825157,서울특별시,구로구,오류2동
일반대학,성균관대학교,본교,서울 종로구 명륜동3가 성균관대학교,37.588227,126.993606,서울특별시,종로구,종로1.2.3.4가동
일반대학,성신여자대학교,본교,서울 성북구 동선동3가 성신여자대학교,37.5916992,127.0219923,서울특별시,성북구,동선동
일반대학,세종대학교,본교,서울 광진구 군자동 세종대학교,37.5518018,127.0736345,서울특별시,광진구,군자동
일반대학,숙명여자대학교,본교,서울 용산구 청파로47길 100 숙명여자대학교,37.546475,126.9646916,서울특별시,용산구,청파동
일반대학,숭실대학교,본교,서울 동작구 상도동 511 숭실대학교,37.4963462,126.9568865,서울특별시,동작구,상도1동
전문대학(2년제),숭의여자대학교,본교,서울특별시 중구 소파로2길 10(예장동),37.5569016,126.9874009,서울특별시,중구,필동
일반대학,연세대학교,본교,서울 서대문구 신촌동 연세대학교,37.561007,126.9396957,서울특별시,서대문구,신촌동
일반대학,이화여자대학교,본교,서울 서대문구 대현동 11-1 이화여자대학교,37.5625607,126.9474535,서울특별시,서대문구,신촌동
전문대학(2년제),인덕대학교,본교,서울 노원구 초안산로 12,37.6310852,127.0550567,서울특별시,노원구,월계2동
일반대학,장로회신학대학교,본교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,37.550118,127.1038593,서울특별시,광진구,광장동
전문대학(3년제),적십자간호대학,본교,서울 종로구 경교장길8,37.5673103,126.9663008,서울특별시,종로구,교남동
일반대학,중앙대학교 서울캠퍼스,본교,서울 동작구 흑석로 84,37.5045563,126.9569379,서울특별시,동작구,흑석동
일반대학,총신대학교,본교,서울 동작구 사당동 산31-3,37.4907607,126.9671264,서울특별시,동작구,사당3동
일반대학,추계예술대학교,본교,서울 서대문구 북아현동 190-1 추계예술대학교,37.5622814,126.9546074,서울특별시,서대문구,충현동
방송통신대학,한국방송통신대학교,본교,서울 종로구 동숭동 한국방송통신대학교,37.5790986,127.0027894,서울특별시,종로구,이화동
일반대학,한국성서대학교,본교,서울 노원구 상계7동 한국성서대학교,37.6486885,127.0642073,서울특별시,노원구,상계6.7동
각종대학(대학),한국예술종합학교,본교,서울 성북구 석관동 ,37.6082694,127.0614872,서울특별시,성북구,석관동
일반대학,한국외국어대학교,본교,서울 동대문구 이문로 107,37.5974261,127.058706,서울특별시,동대문구,이문1동
일반대학,한국체육대학교,본교,서울 송파구 오륜동 한국체육대학교,37.5196266,127.1309837,서울특별시,송파구,오륜동
기능대학,한국폴리텍 I 대학 서울강서캠퍼스,본교,서울 강서구 화곡동 산60-1,37.5504011,126.843553,서울특별시,강서구,우장산동
