,상호명,도로명주소,위도,경도
0,카페숲,서울특별시 금천구 시흥대로40길 129,37.44668927,126.9099392
1,이가네꽈배기,서울특별시 금천구 시흥대로144길 26,37.4733843,126.9008464
2,카페활력소,서울특별시 송파구 법원로 96,37.48402123,127.1209539
3,올도우,서울특별시 서대문구 통일로39길 22-25,37.58832666,126.9428871
4,매머드커피외대,서울특별시 동대문구 천장산로7길 16,37.59849285,127.0569616
5,포르마레,서울특별시 강동구 성내로9길 35,37.53047441,127.1250704
6,하프카페,서울특별시 강남구 학동로 342,37.51674591,127.0408195
7,카페브릿지,서울특별시 영등포구 여의대로 108,37.52518363,126.9290941
8,더웨이유통할리스커피,서울특별시 중구 다산로 114,37.5539516,127.0104075
9,이디야까치산로점,서울특별시 강서구 까치산로 182,37.55330171,126.8538719
10,카페새싹,서울특별시 마포구 성암로13길 66,37.57534491,126.8978098
11,더하우스1932,서울특별시 중구 만리재로35길 5,37.55541254,126.967414
12,홍콩다방홍대입구역점,서울특별시 마포구 서강로11길 10,37.55342122,126.9329569
13,티이,서울특별시 강남구 강남대로162길 20,37.5200015,127.020302
14,러슬,서울특별시 광진구 자양로37길 63,37.54860149,127.0855434
15,레츠그릭,서울특별시 강서구 화곡로26가길 18,37.5407234,126.8391279
16,이디야커피청룡,서울특별시 관악구 쑥고개로 80,37.47920437,126.9452516
17,태산커피시그니쳐,서울특별시 은평구 응암로 347,37.60219551,126.9221814
18,린덴,서울특별시 마포구 월드컵로23길 82-3,37.55433735,126.906053
19,포트캔커피영등포역남부점,서울특별시 영등포구 영신로19길 20,37.51385874,126.9056374
20,비쥬,서울특별시 강서구 강서로47다길 17,37.55192966,126.8342914
21,문래커피클럽,서울특별시 영등포구 선유로 71,37.52017157,126.8888593
22,티카,서울특별시 중구 을지로 281,37.56800293,127.0108895
23,셀렉토커피가산노블루체,서울특별시 금천구 가산로9길 17,37.47678863,126.8910282
24,애프터눈,서울특별시 노원구 화랑로 449-7,37.61868032,127.0768584
