,상호명,도로명주소,위도,경도
0,해룡마라룽샤2,서울특별시 중구 을지로41길 28,37.56700318,127.0066465
1,마라지존,서울특별시 강남구 봉은사로30길 73,37.50293858,127.0371055
2,마라홀릭엔씨,서울특별시 송파구 충민로 66,37.47760822,127.124941
3,룽푸청마라탕,서울특별시 구로구 디지털로33길 48,37.48724621,126.8944921
4,순풍훠궈,서울특별시 금천구 시흥대로 392,37.46844983,126.898296
5,셰프이수현마라탕,서울특별시 금천구 독산로 125,37.45846551,126.9050096
6,마라타임마라탕&마라샹궈,서울특별시 강동구 진황도로 100,37.53538554,127.1373691
7,신마라명가,서울특별시 강동구 상일로7길 12-10,37.55036681,127.1721555
8,신룽푸마라탕,서울특별시 용산구 청파로47가길 5,37.54467707,126.9669511
9,쑈준간촨촨향훠궈,서울특별시 영등포구 도림로41길 10,37.49490277,126.8980998
10,마라투즈,서울특별시 서초구 마방로 60,37.47716802,127.0437225
11,수해복마라탕,서울특별시 노원구 광운로 39,37.62106135,127.0588969
12,마라공방,서울특별시 종로구 우정국로 38-1,37.57247148,126.9832423
13,라향각마라탕강서점,서울특별시 강서구 화곡로68길 15,37.55944265,126.8553058
14,라향각마라탕,서울특별시 마포구 잔다리로 65,37.55343904,126.9171007
15,향리원마라탕,서울특별시 강서구 강서로 271,37.54994642,126.8360198
16,타오마라,서울특별시 마포구 양화로6길 19,37.54924153,126.9152828
17,패밀리마라탕,서울특별시 구로구 서해안로 2108,37.48059144,126.8239811
18,탕화쿵푸마라탕,서울특별시 중구 필동로 18,37.5598938,126.9959769
19,신마라명가,서울특별시 송파구 송이로32길 4-18,37.49017844,127.1274291
20,피슈마라홍탕,서울특별시 노원구 상계로1길 14-11,37.65690066,127.0617994
21,우정마라탕오목교역점,서울특별시 양천구 오목로 329-6,37.52517738,126.8741683
22,허씨정통중경마라쌍궈,서울특별시 광진구 아차산로30길 17,37.53991002,127.0675785
23,마라입구,서울특별시 노원구 석계로3길 21,37.61596198,127.063492
24,소림마라,서울특별시 송파구 백제고분로34길 19,37.50061489,127.098909
25,도란도란훠궈,서울특별시 금천구 시흥대로153길 75,37.47647763,126.8943794
26,탕화쿵푸마라탕,서울특별시 영등포구 도림로36길 3-6,37.49244361,126.8972086
27,마라청춘마라탕,서울특별시 서초구 반포대로28길 76,37.49172414,127.0124503
28,쏘핫마라탕마라샹궈,서울특별시 마포구 매봉산로2길 15,37.5785169,126.8949554
29,화라라마라탕,서울특별시 서대문구 이화여대길 88-16,37.55943353,126.9442462
30,소림마라,서울특별시 서대문구 모래내로 464,37.58566297,126.9462875
31,신장군마라탕,서울특별시 종로구 성균관로 26,37.58499009,126.9973043
32,"복원탄탄면,마라탕",서울특별시 중구 서소문로9길 28,37.56369793,126.9700276
33,라와마라탕,서울특별시 광진구 아차산로33길 51-4,37.54270051,127.0706557
34,소림마라,서울특별시 성북구 월곡로5길 19,37.59792756,127.0382722
35,아이마라,서울특별시 구로구 공원로8길 59,37.50424586,126.8922395
36,황비홍마라탕,서울특별시 동작구 상도로30길 40,37.50430965,126.9424555
37,라사천마라탕,서울특별시 영등포구 가마산로63길 1,37.50567156,126.9059944
38,라사천마라탕상도점,서울특별시 동작구 상도로 117,37.50135906,126.9329744
39,라화방마라탕,서울특별시 노원구 공릉로 208,37.62826542,127.0777595
40,소림마라,서울특별시 용산구 한강대로 69,37.52703445,126.9648751
41,탕화원마라탕,서울특별시 구로구 고척로 234,37.50604728,126.8590397
42,한성마라탕신당점,서울특별시 중구 퇴계로84길 20,37.56474709,127.0191617
43,왕홍마라,서울특별시 구로구 구로동로 210-1,37.49734375,126.882661
44,탕화쿵푸,서울특별시 용산구 청파로47길 78,37.54509378,126.9661758
45,반이학생마라탕마라반,서울특별시 서대문구 연세로7안길 2,37.55774178,126.9364605
46,마부마라탕,서울특별시 구로구 구로동로28길 117-4,37.49254796,126.8900715
47,춘리마라탕,서울특별시 마포구 만리재로 15,37.54457901,126.9527505
48,마라공방,서울특별시 성동구 아차산로17길 48,37.54638407,127.0658683
49,복만루훠궈,서울특별시 종로구 지봉로 93-2,37.5784721,127.0150871
50,마라의신,서울특별시 송파구 송파대로39길 1,37.50268077,127.1087352
51,쏘핫마라샹궈마라탕,서울특별시 종로구 삼일대로17길 47-1,37.56907106,126.9849299
52,하오마라,서울특별시 강남구 선릉로93길 30,37.50471498,127.0461536
53,피슈마라홍탕군자역점,서울특별시 광진구 능동로 302,37.5565831,127.0795265
54,일품마라탕,서울특별시 구로구 경인로 208,37.49589188,126.8441422
55,마라공방,서울특별시 중구 세종대로21길 55,37.56900236,126.9759315
56,소림마라,서울특별시 강남구 역삼로88길 11,37.50317968,127.0614643
57,마라홀릭가산,서울특별시 금천구 디지털로10길 69,37.47529108,126.8908355
58,소림마라,서울특별시 마포구 와우산로29길 4-26,37.55502157,126.929584
59,마라탕탕,서울특별시 은평구 연서로29길 20-13,37.6197874,126.9186538
60,다복향마라탕,서울특별시 서대문구 거북골로 17,37.58041078,126.9253939
61,탕화쿵푸마라탕,서울특별시 동대문구 장한로24길 20,37.57042708,127.071964
62,라쿵푸마라탕,서울특별시 금천구 시흥대로52길 42,37.45321265,126.902125
63,일원동마라탕,서울특별시 강남구 일원로9길 56,37.49055002,127.0860028
64,마라KIM마라탕,서울특별시 금천구 삼성산길 11,37.43409918,126.9048111
65,랑첸첸비꼬치훠궈,서울특별시 영등포구 도림로41길 10,37.49490277,126.8980998
66,일품마라탕,서울특별시 구로구 경인로47길 25,37.50049518,126.8663509
67,쑈라죠마라탕,서울특별시 금천구 금하로 757,37.45017605,126.9138217
68,마라식탁,서울특별시 구로구 개봉로17라길 23,37.49249473,126.8533656
69,소림마라,서울특별시 영등포구 63로 36,37.51941255,126.9385885
70,따제마라탕,서울특별시 서대문구 경기대로 42,37.56303472,126.962204
71,탕화쿵푸,서울특별시 용산구 한강대로 95,37.52880693,126.9666382
72,다복향마라탕,서울특별시 중구 남대문시장길 25-3,37.56039032,126.9771926
73,다현마라탕,서울특별시 금천구 가산디지털1로 131,37.47702751,126.8819573
74,신룽푸마라탕,서울특별시 관악구 신림로 356,37.48610138,126.9296635
75,마라천향미마라탕,서울특별시 강서구 화곡로 142,37.54055489,126.837569
76,서울마라화곡,서울특별시 강서구 화곡로 135,37.5409159,126.8367147
77,소림마라,서울특별시 은평구 서오릉로11길 24,37.61043815,126.9141228
78,해룡마라룽샤,서울특별시 광진구 동일로18길 36,37.53941041,127.0647898
79,라사천마라탕,서울특별시 강북구 도봉로77길 42,37.63419789,127.0211726
80,표표마라탕,서울특별시 관악구 남현2길 8,37.47597763,126.9769083
81,등초마라탕,서울특별시 강서구 공항대로 237,37.55944031,126.8338914
82,마라하오,서울특별시 관악구 관악로 236,37.48539412,126.9563588
83,쇼땅쟈마라탕,서울특별시 송파구 가락로 138,37.50219531,127.1112744
84,라사천마라탕가산디지털단지점,서울특별시 금천구 가산디지털2로 166,37.48266022,126.8782778
85,탕화쿵부마라탕,서울특별시 마포구 홍익로 15,37.55375413,126.9229813
86,진미훠궈,서울특별시 광진구 아차산로31길 9-1,37.54154586,127.069346
87,탕화쿵푸,서울특별시 종로구 창경궁로 258-15,37.58359464,127.0006291
88,설첨마라하우스,서울특별시 강서구 송정로 41,37.55853197,126.8105787
89,마라우육면,서울특별시 동대문구 이문로25길 31,37.59548063,127.057747
90,마라공방,서울특별시 동작구 노량진로16길 8,37.51321341,126.9436194
91,라장훠궈,서울특별시 서대문구 연세로 37,37.55886997,126.9366708
92,이얼싼마라탕,서울특별시 관악구 양녕로 46,37.48613342,126.9472687
93,피슈마라홍탕,서울특별시 서대문구 신촌로 73,37.55630046,126.9345003
94,마라889,서울특별시 중구 장충단로 249-28,37.56733514,127.0075477
