,구,환산보증금 평균
0,강서구,5005988.560693641
1,양천구,10189161.9375
2,마포구,14399931.991735537
3,노원구,4480771.475308642
4,강남구,10035983.005434783
5,중랑구,7715109.811320755
6,송파구,17477060.056603774
7,구로구,26913288.333333332
8,금천구,19621338.0
9,영등포구,23318459.4
10,은평구,8711717.564102564
11,동작구,15645219.25609756
12,관악구,31300232.5
13,서대문구,9280941.555555556
14,용산구,9282988.92
15,종로구,18673588.5
16,중구,16184867.857142856
17,서초구,17600315.21153846
18,성동구,14503212.876923077
19,성북구,9817577.045454545
20,강북구,18637378.84
21,도봉구,10734249.25
22,동대문구,10769125.0
23,광진구,15714269.923076924
24,강동구,15607134.0
